Code INS;Locality;Salary med/decla;Salary mean/hab;postcode
1000;Belgique;30 100;23 352;
1001;Région flamande;32 191;24 957;
1002;Région wallonne;28 348;22 020;
1003;Communauté germanophone;30 639;22 476;
1004;Région de Bruxelles-Capitale;24 488;18 529;
1005;Province d’Anvers;31 575;24 339;
1006;Arrondissement d’Anvers;30 574;23 685;
1007;Aartselaar;36 933;28 645;
1008;Anvers;27 469;20 370;
1009;Boechout;35 112;28 906;
1010;Boom;29 824;21 430;
1011;Borsbeek;31 688;22 597;
11008;Brasschaat;34 065;28 766;2930
11009;Brecht;34 940;26 419;2960
11013;Edegem;36 296;28 328;2650
11016;Essen;33 400;23 880;2910
11018;Hemiksem;34 314;24 359;2620
11021;Hove;38 387;32 447;2540
11022;Kalmthout;35 406;27 272;2920
11023;Kapellen;36 370;29 617;2950
11024;Kontich;36 139;28 983;2550
11025;Lint;36 521;28 776;2547
11029;Mortsel;33 369;26 269;2640
11030;Niel;33 645;23 612;2845
11035;Ranst;35 867;27 813;2520
11037;Rumst;35 818;27 593;2840
11038;Schelle;35 643;26 704;2627
11039;Schilde;36 479;31 684;2970
11040;Schoten;33 570;27 443;2900
11044;Stabroek;35 758;27 086;2940
11050;Wijnegem;32 962;25 812;2110
11052;Wommelgem;33 601;25 497;2160
11053;Wuustwezel;33 011;24 739;2990
11054;Zandhoven;34 513;26 616;2242
11055;Zoersel;35 269;28 407;2980
11056;Zwijndrecht;33 371;24 482;2070
11057;Malle;32 673;25 305;2390
12000;Arrondissement de Malines;33 080;25 947;
12002;Berlaar;32 247;25 204;2590
12005;Bonheiden;37 528;31 527;2820
12007;Bornem;35 159;28 174;2880
12009;Duffel;32 940;26 564;2570
12014;Heist-op-den-Berg;32 754;25 458;2221
12021;Lierre;31 632;25 578;2500
12025;Malines;31 927;24 688;2812
12026;Nijlen;33 694;26 082;2560
12029;Putte;33 848;26 379;2580
12035;Sint-Katelijne-Waver;34 464;27 264;2860
12040;Willebroek;31 975;23 321;2830
12041;Puurs-Sint-Amands;35 721;27 618;2890
13000;Arrondissement de Turnhout;32 893;24 618;
13001;Arendonk;33 089;23 357;2370
13002;Baerle-Duc;29 507;20 109;2387
13003;Balen;33 230;24 263;2490
13004;Beerse;34 775;25 832;2340
13006;Dessel;33 116;23 840;2480
13008;Geel;32 638;25 049;2440
13010;Grobbendonk;34 980;26 758;2280
13011;Herentals;31 764;25 325;2200
13012;Herenthout;32 110;25 007;2270
13013;Herselt;33 223;25 573;2230
13014;Hoogstraten;31 818;23 588;2328
13016;Hulshout;32 990;25 380;2235
13017;Kasterlee;34 415;26 563;2460
13019;Lille;34 342;25 641;2275
13021;Meerhout;33 532;24 956;2450
13023;Merksplas;32 047;24 309;2330
13025;Mol;32 746;24 532;
13029;Olen;34 501;25 696;2250
13031;Oud-Turnhout;35 157;25 699;2360
13035;Ravels;32 512;22 401;2380
13036;Retie;33 731;24 406;2470
13037;Rijkevorsel;32 198;23 230;2310
13040;Turnhout;29 438;21 621;2300
13044;Vorselaar;33 501;25 289;2290
13046;Vosselaar;36 549;27 157;2350
13049;Westerlo;33 825;25 521;2260
13053;Laakdal;34 303;25 338;2431
20001;Province du Brabant flamand;34 323;26 936;
20002;Province du Brabant wallon;31 699;26 736;
21000;Arrondissement de Bruxelles-Capitale;24 488;18 529;
21001;Anderlecht;22 874;14 482;1070
21002;Auderghem;30 113;24 237;1160
21003;Berchem-Sainte-Agathe;25 986;18 850;1082
21004;Bruxelles;23 315;16 683;1105
21005;Etterbeek;25 798;19 652;1040
21006;Evere;26 002;17 285;1049
21007;Forest;24 766;19 132;1190
21008;Ganshoren;25 312;18 429;1083
21009;Ixelles;24 945;21 877;1000
21010;Jette;25 678;18 360;1090
21011;Koekelberg;24 136;15 631;1081
21012;Molenbeek-Saint-Jean;22 704;13 513;1080
21013;Saint-Gilles;22 388;17 920;1050
21014;Saint-Josse-ten-Noode;20 318;12 987;1212
21015;Schaerbeek;23 553;16 246;1035
21016;Uccle;28 386;26 354;1180
21017;Watermael-Boitsfort;28 289;24 951;1170
21018;Woluwe-Saint-Lambert;29 090;22 058;1200
21019;Woluwe-Saint-Pierre;31 645;26 130;1150
23000;Arrondissement de Hal-Vilvorde;33 838;26 166;
23002;Asse;31 882;24 367;1731
23003;Beersel;35 289;26 748;1650
23009;Biévène;34 264;26 099;1547
23016;Dilbeek;34 156;26 563;1701
23023;Gammerages;36 725;26 831;1570
23024;Gooik;35 550;27 863;1755
23025;Grimbergen;33 935;26 507;1853
23027;Hal;32 282;24 504;1500
23032;Herne;36 482;27 614;1540
23033;Hoeilaart;35 147;29 025;1560
23038;Kampenhout;36 651;29 295;1910
23039;Kapelle-op-den-Bos;35 006;28 246;1880
23044;Liedekerke;32 559;23 867;1770
23045;Londerzeel;35 062;27 701;1840
23047;Machelen;30 392;20 500;1830
23050;Meise;36 407;29 026;1861
23052;Merchtem;34 435;27 270;1785
23060;Opwijk;35 804;26 651;1745
23062;Overijse;36 243;30 094;3090
23064;Pepingen;35 972;30 207;1673
23077;Sint-Pieters-Leeuw;31 087;22 461;1601
23081;Steenokkerzeel;35 692;27 970;1820
23086;Ternat;35 465;26 890;1742
23088;Vilvorde;30 836;21 493;1800
23094;Zaventem;31 749;23 477;1935
23096;Zemst;39 577;30 506;1981
23097;Roosdaal;36 152;27 591;1761
23098;Drogenbos;28 593;21 180;1620
23099;Kraainem;34 941;27 924;1950
23100;Linkebeek;32 282;29 156;1630
23101;Rhode-Saint-Genèse;35 001;31 582;1640
23102;Wemmel;31 403;24 909;1780
23103;Wezembeek-Oppem;35 839;28 495;1970
23104;Lennik;36 253;28 261;1750
23105;Affligem;37 556;27 261;1790
24000;Arrondissement de Louvain;34 926;27 913;
24001;Aarschot;33 332;26 622;3200
24007;Begijnendijk;35 970;27 647;3130
24008;Bekkevoort;32 932;26 265;3460
24009;Bertem;37 545;30 235;3061
24011;Bierbeek;40 262;31 905;3360
24014;Boortmeerbeek;38 671;29 597;3191
24016;Boutersem;39 358;29 541;3370
24020;Diest;33 059;25 940;3294
24028;Geetbets;32 597;24 094;3450
24033;Haacht;37 495;28 937;3150
24038;Herent;38 840;31 447;3020
24041;Hoegaarden;37 085;28 516;3320
24043;Holsbeek;38 419;30 252;3221
24045;Huldenberg;35 976;29 072;3040
24048;Keerbergen;38 704;33 727;3140
