region;province;property_id;property_type;postal_code;city_name;address;price;bedroom_count;livable_surface;total_surface;build_year;garage;peb_category
Flandre;Antwerpen;LN6OF;Appartment;9450;Haaltert;Vondelen 163;130000.0;;;270.0;;0;
Flandre;Antwerpen;LPEJ9;Appartment;1070;Anderlecht;Rue Pierre Marchant 21;269000.0;1.0;63.0;63.0;2027.0;0;45
Flandre;Antwerpen;LBAU2;Appartment;2580;Putte;Mechelbaan 667;;;7827.0;13125.0;;0;
Flandre;Antwerpen;LNGVZ;House;3583;Paal;Paalsesteenweg 320 / 2;359000.0;;;;;0;
Flandre;Antwerpen;LPEIU;House;3350;Wommersom;Bonastraat 4;399000.0;3.0;214.0;516.0;1930.0;0;161
Flandre;Antwerpen;LA3K2;House;8700;Tielt;Felix D'Hoopstraat 103;295000.0;4.0;293.0;403.0;;1;460
Flandre;Antwerpen;LPEJB;House;9900;Eeklo;Hugo Verrieststraat 22;445000.0;3.0;160.0;596.0;;1;191
Flandre;Antwerpen;LPEIL;House;2590;Berlaar;Doelstraat 9;269000.0;1.0;;290.0;1975.0;1;
Flandre;Antwerpen;LPEJ3;Appartment;8490;Jabbeke;Constant Permekelaan 73 / 1.01;395000.0;2.0;128.0;128.0;2012.0;1;76
Flandre;Antwerpen;LPEIZ;House;9200;Dendermonde;Burgemeester Portmanslaan 16;189900.0;3.0;123.0;200.0;;0;557
Flandre;Antwerpen;LPEJA;House;2570;Duffel;Stationsstraat 73;345000.0;3.0;128.0;90.0;;0;217
Flandre;Antwerpen;LPEJ1;House;8490;Varsenare;Oude Dorpsweg 62;210000.0;4.0;200.0;275.0;;1;
Flandre;Antwerpen;LPEJ7;House;9810;Nazareth;Stationsstraat 26;379000.0;4.0;176.0;857.0;1968.0;1;304
Flandre;Antwerpen;LPEIH;House;2490;Balen;Klaverveld 1;259000.0;3.0;250.0;460.0;2024.0;0;
Flandre;Antwerpen;LPEI9;Appartment;2850;Boom;Grote Markt 3;349000.0;;210.0;60.0;1918.0;0;219
Flandre;Antwerpen;LPEIB;House;2620;Hemiksem;Nieuwstraat 19;245000.0;3.0;140.0;283.0;;0;287
